id_produto,nome_produto,categoria,marca,preco_unitario,ativo
1,Smartphone Smart,Eletrônicos,Smart,1499.90,Sim
2,Notebook Urban,Eletrônicos,Urban,3431.90,Sim
3,Tablet Nexus,Eletrônicos,Nexus,1187.90,Sim
4,Fone Bluetooth Essencial,Eletrônicos,Essencial,205.90,Sim
5,Smartwatch Max,Eletrônicos,Max,538.90,Sim
6,Monitor Prime,Eletrônicos,Prime,917.90,Sim
7,Teclado Mecânico Connect,Eletrônicos,Connect,281.20,Sim
8,Mouse Sem Fio Nova,Eletrônicos,Nova,131.20,Sim
9,Webcam Viva,Eletrônicos,Viva,249.50,Sim
10,Caixa de Som Aurora,Eletrônicos,Aurora,349.90,Sim
11,Liquidificador Smart,Casa e Cozinha,Smart,187.10,Sim
12,Cafeteira Urban,Casa e Cozinha,Urban,247.40,Sim
13,Air Fryer Nexus,Casa e Cozinha,Nexus,514.90,Sim
14,Jogo de Panelas Essencial,Casa e Cozinha,Essencial,391.90,Sim
15,Aspirador de Pó Max,Casa e Cozinha,Max,591.50,Sim
16,Ferro de Passar Prime,Casa e Cozinha,Prime,135.70,Sim
17,Sanduicheira Connect,Casa e Cozinha,Connect,161.50,Não
18,Batedeira Nova,Casa e Cozinha,Nova,307.10,Sim
19,Micro-ondas Viva,Casa e Cozinha,Viva,699.90,Sim
20,Purificador de Água Aurora,Casa e Cozinha,Aurora,779.90,Sim
21,Bicicleta Smart,Esporte e Lazer,Smart,1187.90,Sim
22,Tênis de Corrida Urban,Esporte e Lazer,Urban,308.90,Sim
23,Mochila Esportiva Nexus,Esporte e Lazer,Nexus,156.70,Sim
24,Bola de Futebol Essencial,Esporte e Lazer,Essencial,101.90,Sim
25,Kit Academia Max,Esporte e Lazer,Max,242.40,Sim
26,Garrafa Térmica Prime,Esporte e Lazer,Prime,90.80,Sim
27,Relógio Esportivo Connect,Esporte e Lazer,Connect,383.90,Sim
28,Colchonete Nova,Esporte e Lazer,Nova,79.90,Sim
29,Raquete Viva,Esporte e Lazer,Viva,197.50,Sim
30,Patins Aurora,Esporte e Lazer,Aurora,346.40,Sim
31,Camiseta Smart,Moda,Smart,61.70,Sim
32,Calça Jeans Urban,Moda,Urban,146.90,Sim
33,Jaqueta Nexus,Moda,Nexus,254.90,Sim
34,Tênis Casual Essencial,Moda,Essencial,223.00,Não
35,Bolsa Max,Moda,Max,181.70,Sim
36,Boné Prime,Moda,Prime,47.90,Sim
37,Vestido Connect,Moda,Connect,199.90,Sim
38,Camisa Social Nova,Moda,Nova,145.50,Sim
39,Bermuda Viva,Moda,Viva,89.00,Sim
40,Carteira Aurora,Moda,Aurora,72.00,Sim
41,Livro Técnico Smart,Livros e Papelaria,Smart,117.50,Sim
42,Caderno Urban,Livros e Papelaria,Urban,25.40,Sim
